,longsword,broadsword,mace,spear,axe,rapier,dagger,claymore,lance,shovel,
iron,1.0076682449495273,0.8940933982683988,0.71555305555556,1.1691400000000092,1.2160824074074048,1.0053275252525162,1.0187148809523945,1.1946020833333617,0.8925600000000007,0.8569943333333333,
tin,0.9629826262626621,0.8796508297258329,0.7092713888888934,1.213694285714295,1.2095849999999968,1.0360772053872018,1.055542559523818,1.209780972222253,0.8119393333333311,0.854769000000001,
copper,1.0034977020202271,1.0599012626262627,0.8380808333333396,1.1975592857142983,0.9860450925925899,0.9828238215488082,1.018033035714292,1.220942777777806,0.8530799999999982,0.8527296666666677,
bronze,1.160592613636372,1.113402200577226,1.13769444444445,1.3774978571428704,1.632073796296292,1.212277760942751,1.2164369047619161,1.427178611111134,1.0798899999999985,1.2360109999999946,
steel,1.323710113636377,1.336224531024552,1.0122861111111163,1.6051166666666759,1.5241667592592618,1.4628816666666642,1.4835500000000121,1.505034444444455,1.1385746666666612,0.9882566666666671,
silver,1.0435266035353743,1.0725470057720057,1.0270944444444476,1.1704547619047723,1.3951254629629577,1.0998462962962885,1.0821208333333383,1.2875466666666935,0.915982666666665,0.8626200000000022,
gold,0.5785218308080893,0.9858065295815276,2.5957677777777763,0.43432238095237913,2.717152499999987,0.22610907407407366,0.15426279761904726,1.331227361111125,0.7897406666666664,3.1182363333333396,
platinum,1.2595324747474712,1.4855418470418489,2.040700833333334,1.3570595238095322,2.425901666666659,1.0811814141414053,1.1314642857142931,1.7491416666666453,1.198481999999995,2.173406999999997,
mythril,1.5604065404040535,1.226525757575784,0.8840838888888931,1.8388869047619194,1.4867483333333313,1.5893142424242457,1.7686824404761907,1.5780544444444404,1.2256599999999929,0.7659680000000022,
adamantine,2.6320663510101143,2.638221969696981,0.5964313888888929,2.428735714285703,1.6922928703703788,3.125265555555561,3.038214583333347,2.7208298611110595,1.4629313333333314,0.11793466666666681,
sunsteel,2.6984109595959245,2.7600700937951053,2.2486763888888923,3.0215107142857023,3.1824313888889395,2.8838240572390474,2.7792410714285865,2.9869006944444383,2.1951733333333285,2.2191366666666603,
ectoplasm,0.9615564772727677,0.954892207792207,0.7049313888888944,1.1972740476190595,1.028749722222213,1.0242260606060538,1.037075595238101,1.083225000000026,0.7763060000000003,0.6404620000000018,
moonsilver,1.2813624621212116,1.3406139610389582,1.1856002777777817,1.3721121428571548,1.41152268518518,1.2804402020201953,1.3387851190476274,1.506369305555566,1.0974919999999968,1.3006463333333298,
wood,0.18613433080807412,0.2656032828282863,0.5514661111111167,0.2950740476190448,0.4745674999999934,0.16649639730639745,0.15655327380952405,0.3680911111111074,0.283821333333333,0.6481463333333359,
solar gold,0.782696186868686,1.4277870851370875,3.050636388888893,0.579449523809523,3.235792685185181,0.32172479797979847,0.27291369047618874,1.6561702777777623,1.0272286666666666,3.683737333333345,
bone,1.0002430808080862,1.0219657287157515,0.8583113888888909,1.1644519047619124,1.228394166666657,1.0645449999999954,1.0313547619047712,1.2030252777778065,0.8751039999999964,0.8366136666666664,
